    40/999     1.75G   0.03935    0.1026  0.003612    0.1456       698       448    0.9505     0.293    0.3031    0.1131   0.02336   0.07087  0.002528
    41/999     1.75G   0.03213   0.09806  0.003193    0.1334       734       448    0.5423    0.3939    0.2866    0.1123   0.02396   0.07013  0.002551
    42/999     1.75G   0.02796   0.09673  0.002398    0.1271       622       448    0.6287    0.3929    0.3493    0.1048    0.0261   0.07574  0.002598
    43/999     1.75G   0.02877   0.09994   0.00272    0.1314       660       448    0.6406    0.4043    0.3532    0.1857   0.02151   0.06415  0.002591
    44/999     1.75G   0.03375   0.09357  0.003851    0.1312       569       448    0.7059    0.4294    0.3886    0.2263   0.01973   0.06382   0.00262
    45/999     1.75G   0.03227    0.1025  0.003771    0.1386       807       448     0.658    0.4307    0.3868    0.2007    0.0213    0.0746  0.002657
    46/999     1.75G   0.03138   0.09374  0.003676    0.1288       328       448    0.7417    0.4244    0.3921    0.1599   0.02407   0.06846   0.00255
    47/999     1.75G   0.03252   0.09843  0.004061     0.135       543       448    0.6814    0.4137    0.3977    0.2291   0.01988   0.06494  0.002549
    48/999     1.75G   0.02891   0.09376  0.002627    0.1253       425       448    0.6957    0.4377    0.3966    0.2222   0.01748   0.06272  0.002561
    49/999     1.75G   0.02987   0.09258  0.003805    0.1262       472       448    0.7549    0.4463    0.4266    0.1736   0.02023   0.06399  0.002563
    50/999     1.75G   0.02675    0.0915  0.002819    0.1211       623       448      0.77    0.4474    0.4353    0.2808   0.01704   0.06146  0.002445
    51/999     1.75G   0.03081   0.08638  0.003315    0.1205       999       448    0.7669    0.4646    0.4333    0.2249   0.01968   0.06265  0.002392
    52/999     1.75G   0.02553    0.0888  0.002381    0.1167       485       448    0.7326    0.4644    0.4182    0.2692    0.0162   0.05981  0.002482
    53/999     1.75G   0.03009   0.09282  0.003592    0.1265       680       448    0.7932    0.4654    0.4378    0.2655   0.01682   0.06141  0.002502
    54/999     1.75G   0.02209   0.09337  0.002115    0.1176       575       448    0.8074    0.4656    0.4344    0.2728   0.01687   0.05979  0.002466
    55/999     1.75G   0.02363   0.08458  0.002558    0.1108       536       448    0.7998    0.4653     0.445    0.2843   0.01713   0.05863  0.002424
    56/999     1.75G   0.02497   0.08509  0.003329    0.1134       736       448    0.8085    0.4827    0.4466    0.3041   0.01506   0.05744  0.002378
    57/999     1.75G   0.02242   0.08717  0.002111    0.1117       756       448    0.8009    0.4825    0.4729    0.2675   0.01742   0.06064  0.002369
    58/999     1.75G   0.03081   0.08415  0.003886    0.1188       481       448    0.8151     0.481    0.4544    0.2679   0.01776   0.06002  0.002349
    59/999     1.75G   0.02656   0.08637  0.002797    0.1157       644       448    0.7969    0.4824    0.4519    0.2837   0.01531   0.05813  0.002391
    60/999     1.75G   0.02488   0.08651   0.00346    0.1148       800       448    0.7988    0.4912    0.4513     0.306   0.01529    0.0574  0.002398
    61/999     1.75G    0.0238   0.08667  0.003223    0.1137       808       448    0.8286    0.4656    0.4596     0.297   0.01543   0.05743   0.00239
    62/999     1.75G   0.02235   0.08815  0.003703    0.1142       590       448    0.9586    0.4385    0.4745    0.3324   0.01461   0.05771  0.002332
    63/999     1.75G   0.01959   0.08497  0.002187    0.1068       671       448    0.9658     0.465    0.4925    0.3326   0.01472   0.05535  0.002242
    64/999     1.75G   0.02318   0.08847  0.002863    0.1145       340       448    0.9241    0.4651     0.479    0.3303   0.01379   0.05455  0.002275
    65/999     1.75G   0.02264   0.07993  0.002847    0.1054      1010       448     0.929    0.4654    0.4856    0.3374   0.01525   0.05594   0.00223
    66/999     1.75G   0.02198   0.08111  0.002323    0.1054       435       448    0.8951    0.4995    0.5021    0.3504   0.01607   0.05517  0.002216
    67/999     1.75G   0.02103   0.08121  0.002562    0.1048       796       448     0.878    0.4997    0.5086    0.3621   0.01482   0.05618  0.002189
    68/999     1.75G   0.02095   0.08448  0.002668    0.1081       300       448    0.9027     0.482     0.521    0.3617   0.01372   0.05535  0.002229
    69/999     1.75G    0.0197   0.08359  0.001754     0.105       877       448    0.8832    0.4915    0.5264    0.3735   0.01368   0.05543  0.002177
    70/999     1.75G   0.02026   0.08113  0.001959    0.1034       709       448    0.8912    0.4914    0.5584    0.3737   0.01448   0.05521  0.002049
    71/999     1.75G   0.02373   0.07994  0.003054    0.1067       699       448    0.9033    0.4999    0.5731    0.4039   0.01428    0.0538  0.002038
    72/999     1.75G   0.02374   0.08216  0.002869    0.1088       794       448    0.8546    0.6187    0.5949    0.3921   0.01369   0.05369  0.002036
    73/999     1.75G   0.02098   0.07997  0.001905    0.1029       726       448    0.9313    0.6023    0.6219    0.4369   0.01482   0.05483  0.001942
    74/999     1.75G   0.02329   0.08101  0.002023    0.1063       811       448    0.9229    0.6107    0.6191    0.4341   0.01391   0.05407  0.002038
    75/999     1.75G   0.01935   0.07532  0.003073   0.09774       558       448    0.9537      0.61    0.6296     0.465   0.01374   0.05281   0.00193
    76/999     1.75G   0.01892   0.07918  0.001661   0.09977       761       448    0.9477    0.6187    0.6307    0.4521   0.01318   0.05286  0.001916
    77/999     1.75G   0.02227   0.08193     0.002    0.1062       459       448    0.9519     0.626    0.6422    0.4328   0.01352   0.05385  0.001814
    78/999     1.75G   0.02325   0.08058  0.001972    0.1058       666       448     0.948    0.6254     0.646    0.4677   0.01378   0.05414  0.001766
    79/999     1.75G   0.01937   0.07859  0.002279    0.1002       772       448    0.9209    0.6449    0.6452    0.4803   0.01366   0.05295  0.001809
    80/999     1.75G   0.02106   0.08452   0.00174    0.1073       631       448    0.9518    0.6261     0.643    0.4806   0.01287   0.05312  0.001795
    81/999     1.75G   0.02287   0.07926  0.002622    0.1047       761       448    0.9302    0.6308    0.6287    0.3371   0.01611   0.05966  0.002083
    82/999     1.75G   0.02322   0.07558  0.003532    0.1023       528       448     0.949    0.6161     0.637    0.3926   0.01519   0.05718  0.001875
    83/999     1.75G   0.01905   0.07902  0.002443    0.1005       545       448    0.9579    0.5701    0.6212    0.4413   0.01468   0.05692  0.002073
    84/999     1.75G   0.02206   0.07941  0.003021    0.1045       514       448    0.9128    0.6016    0.6172    0.3909   0.01449   0.05567  0.001996
    85/999     1.75G   0.02084   0.08056  0.002399    0.1038       576       448    0.9282    0.6268    0.6153    0.4679   0.01339   0.05462  0.002303
    86/999     1.75G   0.02023   0.07624  0.003166   0.09963       738       448    0.9409    0.6247    0.6229    0.4508   0.01337   0.05494  0.002052
    87/999     1.75G   0.01733   0.07956  0.001701   0.09859       509       448    0.9558    0.6272    0.6364    0.4749   0.01299   0.05277   0.00177
    88/999     1.75G   0.02166   0.07862  0.001813    0.1021       614       448     0.965    0.6176    0.6367    0.4605    0.0144   0.05357  0.001739
    89/999     1.75G   0.02079    0.0807  0.002524     0.104       785       448    0.9597    0.6266    0.6421    0.4646   0.01411   0.05181   0.00165
    90/999     1.75G   0.02177   0.07424  0.001825   0.09783       609       448    0.9451    0.6442    0.6464    0.3922   0.01354   0.05376  0.001643
    91/999     1.75G   0.01806   0.07715  0.002878   0.09809       514       448    0.9501    0.6535    0.6448    0.4868   0.01256   0.05316  0.001583
    92/999     1.75G   0.01981   0.08104  0.002194     0.103       606       448     0.947    0.6534     0.646    0.4856   0.01299    0.0532  0.001577
    93/999     1.75G   0.01827   0.07835  0.001414   0.09803       702       448     0.966    0.6352    0.6483    0.4872   0.01271    0.0514  0.001616
    94/999     1.75G   0.01942   0.08082   0.00197    0.1022       717       448    0.9563    0.6437    0.6457    0.4673   0.01268   0.05252  0.001665
    95/999     1.75G   0.02059   0.07979  0.002983    0.1034       642       448     0.959    0.6025    0.6381    0.4749   0.01401   0.05497  0.001751
    96/999     1.75G   0.02202   0.08232  0.002503    0.1068       505       448    0.9295    0.6517    0.6418    0.4657   0.01268   0.05105  0.001769
    97/999     1.75G   0.02063    0.0765  0.002151   0.09928       601       448    0.9584    0.5986      0.63     0.477   0.01303   0.05249  0.001816
    98/999     1.75G   0.02186   0.07955  0.001972    0.1034       841       448    0.9279    0.6326    0.6327    0.4693   0.01478   0.05341  0.001753
    99/999     1.75G   0.02119    0.0768  0.002575    0.1006       643       448    0.9553    0.6429    0.6478    0.4858   0.01387   0.05128  0.001553
   100/999     1.75G   0.02033   0.08001  0.002377    0.1027       837       448    0.9493    0.6529    0.6508    0.5053   0.01233    0.0506   0.00166
   101/999     1.75G    0.0216   0.07509   0.00251    0.0992       564       448    0.9707    0.6423    0.6528    0.5041   0.01258    0.0509  0.001712
   102/999     1.75G   0.01982   0.07494   0.00238   0.09714       765       448    0.9701    0.6402    0.6505     0.479   0.01312   0.05078  0.001698
   103/999     1.75G    0.0187   0.07367  0.002187   0.09456       584       448    0.9373    0.6617    0.6467     0.504   0.01292   0.05136  0.001585
   104/999     1.75G   0.01826   0.07722  0.001758   0.09723       800       448    0.9439    0.6534    0.6518    0.5011   0.01212    0.0508  0.001566
   105/999     1.75G   0.01954   0.07629  0.002355   0.09818       861       448    0.9423    0.6614    0.6502    0.4576   0.01305   0.05155  0.001598
   106/999     1.75G   0.01629   0.07289  0.001466   0.09065       473       448    0.9415    0.6615    0.6505    0.5065   0.01235   0.05018  0.001516
