     40/99     3.15G   0.05399    0.2722  0.003598    0.3298       711       640    0.7593    0.5096    0.5495    0.3093   0.04495    0.1992  0.004991
     41/99     3.15G   0.05247    0.2581  0.003547    0.3141       728       640    0.8013    0.5027    0.5511    0.3461   0.03934    0.1965  0.004894
     42/99     3.15G   0.04883    0.2572  0.003321    0.3093       343       640    0.7844    0.5105    0.5656     0.362   0.03899    0.1942  0.004873
     43/99     3.15G   0.04813    0.2474  0.003047    0.2985       690       640    0.8006    0.5159     0.563    0.3391   0.04259    0.1882  0.004661
     44/99     3.15G    0.0517    0.2378  0.003225    0.2927       457       640    0.7981    0.6226    0.6048    0.4026   0.03679    0.1835  0.004733
     45/99     3.15G   0.04911    0.2469  0.003058    0.2991       698       640     0.786    0.6396    0.6112     0.401   0.03822    0.1829  0.004666
     46/99     3.15G   0.04782    0.2358  0.003011    0.2866       743       640    0.8104    0.6398     0.606    0.3752   0.03741    0.1806  0.004607
     47/99     3.15G   0.04537    0.2264   0.00282    0.2746       400       640    0.8337    0.6304     0.615    0.3711   0.04034    0.1828  0.004524
     48/99     3.15G   0.04864    0.2426  0.002985    0.2942       552       640    0.8841    0.6393    0.6373    0.4336   0.03577    0.1757   0.00455
     49/99     3.15G    0.0473     0.249  0.002994    0.2993       646       640     0.867    0.6305    0.6347    0.3995   0.03723    0.1873  0.004503
     50/99     3.15G   0.04147    0.2353  0.002855    0.2796       508       640    0.8884    0.6302    0.6345    0.4333   0.03595    0.1838  0.004403
     51/99     3.15G   0.04216    0.2327  0.002576    0.2774       609       640    0.8706    0.6296    0.6344    0.4465   0.03539    0.1804   0.00423
     52/99     3.15G   0.04299    0.2465  0.002614    0.2921       821       640    0.9547     0.569    0.6376    0.4549   0.03438    0.1806  0.004201
     53/99     3.15G   0.04109    0.2194  0.002589    0.2631       595       640    0.9574    0.5868    0.6391    0.4715    0.0361     0.176  0.004101
     54/99     3.15G   0.04303     0.223  0.002617    0.2687       782       640    0.9556    0.6219    0.6423     0.457     0.034    0.1717  0.004194
     55/99     3.15G   0.03978    0.2147  0.002492    0.2569       329       640    0.9273    0.6049    0.6427     0.469   0.03256    0.1682  0.004191
     56/99     3.15G   0.04109     0.229  0.002565    0.2727       566       640    0.9082    0.6465    0.6499    0.4813   0.03187    0.1651  0.004089
     57/99     3.15G    0.0389    0.2069  0.002275    0.2481       627       640    0.9264    0.6122    0.6478     0.495   0.03262    0.1637  0.004051
     58/99     3.15G   0.03915    0.2157  0.002373    0.2572       588       640    0.9374    0.6302    0.6458    0.4782   0.03347    0.1678  0.004027
     59/99     3.15G   0.03895    0.2024  0.002176    0.2436       656       640    0.9621    0.5705    0.6425     0.476   0.03255    0.1651  0.004002
     60/99     3.15G   0.04067    0.2181  0.002409    0.2612       655       640    0.9426    0.6304    0.6476     0.499   0.03051    0.1593  0.003982
     61/99     3.15G   0.03916    0.2193  0.002281    0.2607       883       640    0.9471    0.5963    0.6487    0.5068   0.03084    0.1606  0.004004
     62/99     3.15G   0.03887    0.2108  0.002373     0.252       407       640    0.9575    0.5877    0.6468    0.5057    0.0304    0.1598  0.003999
     63/99     3.15G   0.03742    0.2022  0.002269    0.2419       646       640    0.9639    0.5965    0.6488    0.4998   0.03039    0.1584  0.004003
     64/99     3.15G   0.03682    0.2112  0.002111    0.2501       668       640    0.8872    0.6483    0.6512    0.5154   0.02942    0.1555  0.003954
     65/99     3.15G   0.03526    0.1967  0.002196    0.2341      1216       640    0.9902    0.5532    0.6522    0.5117   0.03165    0.1589  0.003925
     66/99     3.15G   0.03692    0.2059  0.002294    0.2451       787       640    0.9331    0.6222    0.6516    0.5196   0.03009    0.1569  0.003814
     67/99     3.15G   0.03466    0.1964  0.002129    0.2332       587       640    0.9554    0.6223    0.6519    0.5246   0.02943     0.156  0.003813
     68/99     3.15G   0.03582    0.2032  0.001897    0.2409       635       640    0.9561    0.6272    0.6525     0.507   0.02863    0.1537  0.003791
     69/99     3.15G    0.0353    0.1986  0.002215    0.2361       488       640    0.9629    0.6559     0.655    0.5186   0.03009     0.158  0.003714
     70/99     3.15G   0.03611    0.1942  0.001999    0.2323       566       640    0.9705    0.6218    0.6549    0.5256   0.02967    0.1538  0.003721
     71/99     3.15G   0.03503    0.2016  0.002106    0.2388       710       640    0.9656    0.6156    0.6541      0.53   0.02908    0.1556  0.003829
     72/99     3.15G   0.03428    0.1935  0.001874    0.2297       762       640    0.9097    0.6565    0.6515    0.5298   0.02864    0.1517   0.00379
     73/99     3.15G   0.03435    0.1909  0.001931    0.2272       385       640    0.9592    0.6471    0.6491     0.521   0.02847     0.154  0.003749
     74/99     3.15G   0.03429    0.1886   0.00198    0.2249       603       640    0.9458     0.656    0.6538    0.5211   0.02993    0.1542  0.003736
     75/99     3.15G   0.03607     0.201  0.001951     0.239       576       640    0.9569    0.6475    0.6512    0.5271    0.0286    0.1515  0.003716
     76/99     3.15G   0.03442    0.1935  0.001933    0.2299       501       640    0.9555    0.6333    0.6556    0.5399   0.02769    0.1506  0.003714
     77/99     3.15G    0.0328    0.1836  0.001829    0.2182       862       640    0.9361    0.6432    0.6517    0.5368   0.02832    0.1528  0.003713
     78/99     3.15G   0.03404    0.1927  0.001855    0.2286       455       640    0.9344    0.6561    0.6532    0.5136   0.02772    0.1496  0.003648
     79/99     3.15G   0.03317    0.1859  0.001819    0.2209       661       640    0.9673    0.6049    0.6495    0.5352   0.02793    0.1495  0.003606
     80/99     3.15G   0.03436    0.1922   0.00183    0.2284       749       640    0.9462    0.6479    0.6499    0.5321   0.02785    0.1497  0.003638
     81/99     3.16G   0.03235    0.1911  0.001766    0.2253       649       640    0.9665    0.6136    0.6529    0.5467   0.02762    0.1479  0.003632
     82/99     3.16G   0.03256    0.1868  0.001867    0.2212       585       640    0.9534    0.6392    0.6446    0.5307   0.02753    0.1493  0.003689
     83/99     3.16G    0.0318    0.1867  0.001835    0.2204       483       640    0.9585     0.629    0.6489    0.5347   0.02729    0.1468  0.003656
     84/99     3.16G   0.03292    0.1917  0.001797    0.2265       693       640    0.9566    0.6563    0.6483    0.5364   0.02776    0.1497  0.003674
     85/99     3.16G   0.03293    0.1906  0.001797    0.2254       921       640    0.9457    0.6135    0.6509    0.5402   0.02699    0.1454  0.003646
     86/99     3.16G   0.03161     0.188  0.001765    0.2213       591       640     0.958    0.6306      0.65    0.5328   0.02713    0.1465  0.003672
     87/99     3.16G   0.03137    0.1762  0.001757    0.2094       750       640    0.9333     0.656    0.6488    0.5343    0.0272    0.1485  0.003653
     88/99     3.16G   0.03312    0.1915  0.001679    0.2263       766       640    0.9369    0.6397    0.6504    0.5425   0.02723    0.1467  0.003582
     89/99     3.16G   0.03159    0.1798  0.001628    0.2131       920       640    0.9539      0.65    0.6492    0.5367   0.02698    0.1469  0.003578
     90/99     3.16G   0.03148    0.1821  0.001837    0.2154       649       640    0.9678    0.6222    0.6487    0.5406   0.02707    0.1454  0.003565
     91/99     3.16G   0.03194    0.1757  0.001727    0.2093       698       640    0.9624    0.6478     0.647    0.5405   0.02685    0.1456  0.003575
     92/99     3.16G   0.03222    0.1868  0.001733    0.2208       915       640    0.9602    0.6454    0.6444    0.5345   0.02705    0.1476  0.003563
     93/99     3.16G   0.03085    0.1787  0.001689    0.2113       521       640    0.9537    0.6561     0.645    0.5355   0.02673    0.1456  0.003569
     94/99     3.16G   0.03193    0.1821  0.001806    0.2159       546       640    0.9692    0.6051    0.6512    0.5436   0.02682    0.1447  0.003555
     95/99     3.16G   0.03163    0.1765  0.001597    0.2097       498       640    0.9573    0.6478    0.6483    0.5394   0.02674    0.1446  0.003537
     96/99     3.16G   0.03134     0.174  0.001749    0.2071       655       640    0.9625    0.6478    0.6483    0.5391   0.02721    0.1464  0.003532
     97/99     3.16G   0.03114    0.1745  0.001832    0.2074       384       640    0.9728    0.6138    0.6506    0.5396   0.02666     0.144  0.003511
     98/99     3.16G   0.03218    0.1817  0.001726    0.2156       683       640    0.9599    0.6464    0.6514    0.5412   0.02705    0.1459  0.003537
     99/99     3.16G   0.03086    0.1744  0.001691    0.2069       875       640    0.9534    0.6438    0.6532    0.5479   0.02679    0.1459  0.003565
